Conte√∫do,T√≠tulo do v√≠deo,Hor√°rio de publica√ß√£o do v√≠deo,Visualiza√ß√µes,Tempo de exibi√ß√£o (horas),Inscritos,Receita estimada (USD),Impress√µes,Taxa de cliques de impress√µes (%)
9Y3uHtFOfQU,"""Nós Vamos tirar definitivamente os garimpeiros das terras indígenas"" Lula afirma em Roraima","Mar 16, 2023",800,17.1335,-1,0.769,12571,3.14
Vi2RziKtw-4,Metroviários de São Paulo entram em greve e Tarcísio descumpre acordo de Catraca Livre,"Mar 23, 2023",1083,18.0274,3,0.749,17169,3.44
5_dLd0bira0,Conheça o candidato Renato Freitas (PR) | Eleições 2022,"Sep 29, 2022",1816,61.4426,15,0.741,23893,5.56
qoAKvZmgdTo,Hamilton relembra vitória histórica no Brasil e critica negligência de Bolsonaro com a COVID-19,"Apr 23, 2023",2006,33.8165,1,0.738,24489,6.07
zad1u1qnAnA,"""Você conhece a galoucura?"" Torcida do atlético fez mais que a PRF contra bloqueios bolsonaristas","Jun 21, 2023",38004,432.4582,57,0.738,97560,5.23
3jIZVadlMYk,Henrique Vieira - Porque não votar em Bolsonaro,"Jul 31, 2018",1138,45.1678,8,0.726,19365,4.16
uj437LUfSFk,"Simone Tebet ressalta divergências com Lula mas afirma: ""Pobres serão prioridade no orçamento""","Jan 5, 2023",1456,25.9531,0,0.709,21651,4.71
_EDdsVKk61Q,Noites Alienígenas │Trailer oficial,"Feb 27, 2023",1152,20.3549,1,0.698,13147,3.51
NvqXQCPyAFE,1 voto para tornar Bolsonaro inelegível por 8 anos! Ministro Benedito Gonçalves votou nessa noite,"Jun 28, 2023",35523,549.7223,95,0.677,119407,5.67
_y0tBHxhNTU,Haddad amassou Tarcísio no debate da Globo | Confira os melhores momentos,"Oct 28, 2022",1082,52.4065,3,0.675,18798,4.59
3wmsRmgSJps,"Conheça a Trafaria, o antigo presídio que virou ocupação cultural em Portugal","Jul 28, 2019",351,11.9133,1,0.672,1623,7.64
2B4PGwm19lA,Quem matou Marielle? Ligando os pontos,"Jan 23, 2019",2192,82.3103,8,0.671,22595,7.88
ORgifqdxZ6g,Resumo da participação do Lula no debate da Globo,"Sep 30, 2022",2385,120.0765,5,0.671,32695,6.11
xadtRStYH0U,"Lula condena Carrefour após professora sofrer racismo ""Neste país a gente não vai admitir""","Apr 11, 2023",640,9.4029,0,0.664,4121,7.98
9eS6Q4ll4fY,Famílias do MTST recebem chaves de 910 apartamentos em Santo André,"Mar 18, 2019",625,20.4788,5,0.663,3705,11.26
bf-Ceq9Nl6k,Dandara arrasa vereadores de Uberlândia e denuncia lei municipal que veta educação sexual em escolas,"Jun 16, 2023",451,11.5643,-2,0.641,3738,4.68
 -xYXIQ1lJq4,Ativistas pela taxação das grandes fortunas são detidos em manifestação dentro do Capitólio,"Mar 28, 2023",544,6.2663,1,0.64,15868,2.65
qvuyb3OrU-A,Eliziane Gama botou ordem na CPMI dos atos golpistas!,"Jun 20, 2023",34385,327.6174,61,0.639,86612,6.46
84PTl5O9YNQ,Ex-presidente Bolsonaro dormia com um cilindro de oxigênio ao lado da cama,"Jan 6, 2023",211342,2417.4641,210,0.634,115965,5.89
EI0pTdRGYHM,Criança de 3 anos é levada por pipa durante festival em Taiwan,"Aug 31, 2020",1278,17.3401,0,0.63,6100,10.3
IKSWfgZLKMA,Perfil VQQ | Marielle Franco - PSol,"Sep 25, 2016",1014,24.3553,6,0.627,7731,9.08
0HZMctfjgxQ,Confira o discurso de Lula na íntegra,"Nov 10, 2019",1602,159.8291,5,0.613,14928,7.48
JZXvo6Fpx2I,Debora Oliveira explica como foi expulsa da Igreja Universal.,"Oct 27, 2016",1470,47.3949,6,0.599,18680,6.18
CFYJD9xi5Vc,"Cobertura do dia 2 de Fevereiro, dia de Iemanjá em Salvador (2020)","Feb 2, 2021",884,13.737,6,0.592,6866,6.71
H8-O2_JuILo,Guilherme Boulos | Por que Ocupamos?,"Apr 19, 2017",834,37.7758,7,0.587,6706,4.98
fXB9M0Xj174,Bolsonaro exposto: Fernanda Melchiona na CPMI revela conspiração em 1 minuto!,"Jun 7, 2023",34191,340.9906,81,0.587,24191,4.56
3hawVyRLHuw,Caetano Veloso Entrevista Daniela Mercury,"Feb 14, 2019",612,90.5517,5,0.586,11747,3.87
hKS4CaYrIWs,Homem morreu por falta de macas em hospitais por ser gordo e teve o caixão preenchido com lixo,"Jan 16, 2023",1689,20.9767,-3,0.577,19748,4.87
jUxA7YnkdI4,Imagens aéreas do velório do Pelé,"Jan 2, 2023",949,9.6622,-2,0.576,17502,2.44
w3ciHZgzhVw,Episódio 2 - A mãe do Brasil é indígena │ Maracá,"Aug 26, 2020",943,66.3578,12,0.575,19545,3.33
Y5ECwWdL5UE,"Davi Kopenawa, Líder Yanomami reforça a denúncia sobre invasão de seu território pelo garimpo ilegal","Mar 15, 2023",589,9.9232,-2,0.571,8790,3.7
TQ9hmnt9rVg,Mídia Ninja entrevista Filipe Ret,"Mar 27, 2018",1216,43.828,6,0.57,12361,7.93
RfVOxqUfKc4,Empresário gastou 40 mil reais com alimentação para acampamento golpista em Minas Gerais,"Jan 11, 2023",39431,406.5303,56,0.569,88064,7.81
cjlT3-XXWNA,"""Eu sou um de vocês!"" Confira o discurso completo de Lewis Hamilton, o mais novo cidadão brasileiro","Nov 7, 2022",1550,46.163,5,0.569,20575,6.3
amtCiL651hQ,Muito Fofo! Movimento de crianças vão em grupo de bicicleta para escola se espalha pela Europa,"Mar 20, 2023",778,11.8201,-1,0.566,10795,3.5
V0rIr8Bdz3g,Aula de Política | Live de Anitta com Gabriela Prioli,"May 10, 2020",795,77.741,5,0.563,8629,5.46
fazI2wKXdZE,Michael B. Jordan e Jonathan Majors honram Angela Bassett após a perda de Melhor Atriz Coadjuvante,"Mar 13, 2023",11678,27.9975,5,0.545,64077,12.75
0Ddoip0dRxU,Lula desmente fake news bolsonarista sobre o MEI,"Oct 29, 2022",1012,19.0172,1,0.542,7257,11.74
bLXqJxienxM,O ex-presidente fujão voltou! Boulos não deixa barato e desmascara a farsa que é Bolsonaro,"Mar 31, 2023",33020,345.17,99,0.528,54531,5.4
mt3qB0sxbW4,Lula destaca combate ao ódio e a promoção da cultura da paz em sua avaliação de 100 dias no governo,"Apr 10, 2023",619,8.3279,-1,0.524,6155,5.49
qmuey4kCc9M,Michelle Yeoh é a primeira mulher asiática a levar oscar de melhor atriz,"Mar 13, 2023",1054,24.4801,0,0.511,14009,5.45
tPWemHn6juU,Delírios Utópicos de Claudio Prado - Crianças Índigo e as Máfias do séc. XX,"Aug 7, 2017",367,36.1276,4,0.51,7085,3.49
eWBYtLkgovc,"Movimentos culturais celebram Maria Marighella, nova presidenta da Funarte","Mar 6, 2023",885,12.2155,0,0.509,12135,4.15
LxNH-ZMXUYY,Confira os melhores momentos da vitória de Lula na Av Paulista,"Nov 1, 2022",1473,39.1733,8,0.498,12800,8.42
ioC_ncPej7A,"Conheça Txai Suruí, única brasileira a discursar na abertura da COP26","Nov 4, 2021",372,13.4074,4,0.498,2912,7.93
FlZ0zOty0zU,Não eram nem 9 horas da manhã e essa era a fila pra posse do Lula #shorts,"Jan 1, 2023",15129,91.7701,45,0.496,146406,5.92
jI_d__zJb7Q,Ludmilla contou à Mídia NINJA sobre os desafios de cantar samba na Sapucaí pela primeira vez,"Feb 23, 2023",755,7.9653,-6,0.496,11467,3.19
CULhDaIA3c8,Alexandre de Morais quer obrigar redes sociais a filtrar automaticamente conteúdo de ódio e violento,"Apr 18, 2023",1072,38.045,0,0.493,13071,6.65
UgZp3KQxCLs,Discurso de Lula em São Bernardo - Sindicato dos Metalúrgicos do ABC,"Apr 8, 2018",1537,68.7781,2,0.491,12191,9.35
ktf8XwdEKck,Tuíra Kayapó responde ao deputado José Medeiros (Pode-MT),"Apr 26, 2019",927,19.8599,2,0.487,14352,5.15
fiQeuDi98hY,"Lula para Bolsonaro: ""Vem falar de quadrilha comigo? Ele precisava se olhar no espelho"" #shorts","Sep 30, 2022",71508,930.6313,294,0.485,54881,5.16
EJivkwxl9jE,Cida Gonçalves toma posse como ministra das Mulheres,"Jan 3, 2023",1254,14.95,3,0.478,22399,2.75
igysZILb60E,Caetano Veloso Entrevista Henrique Vieira - Parte 2,"Dec 18, 2018",610,84.0918,5,0.478,12024,2.79
kgSy3Nrxrh8,Lula vai colocar a PF para revelar quem mandou matar Marielle,"Oct 17, 2022",61261,642.2244,187,0.478,160631,6.98
4b4wDffHJnA,"Lula fala após resultado do 1º turno: ""Eu adoro fazer campanha. E teremos mais 28 dias.""","Oct 3, 2022",852,15.7383,3,0.468,2708,6.35
qnGbkLwRtqo,Lula sobe a rampa do Palácio do Planalto e recebe a faixa presidencial #shorts,"Jan 1, 2023",23935,309.0841,58,0.467,194376,6.47
gGpltAhuayY,Lula com indígenas no Acampamento Terra Livre em Brasília,"Apr 12, 2022",878,35.0569,4,0.453,3205,4.52
ratAF1NZzwA,Discurso do Pastor Henrique Vieira no Ato em defesa da Democracia,"Apr 3, 2018",401,16.5615,5,0.453,3542,6.15
jc1wpjxRK-U,"Entenda o Green New Deal, proposta economica para combater as mudanças climáticas","Apr 27, 2020",224,14.7064,2,0.449,2167,6.51
bdCufTN5YmU,"Manuela D'Ávila sobre VazaJato ""No dia das mães, um hacker me contatou e mudou a história do Brasil""","Apr 2, 2021",585,45.0493,4,0.446,7540,5.92
i29UR49wwdo,"Dom de Cura e Pajelança - Do Cumaru, Kumaruara, um povo com o nome da cura","Dec 7, 2021",625,27.3354,5,0.433,6455,6.34
jTxpT3QqJIY,"Artista fazem o ""L"" em apoio ao Lula no primeiro turno","Sep 21, 2022",1565,25.4931,3,0.43,14261,8.86
N88Hrl1RHiA,Recepção calorosa para Bolsonaro hoje na ALESP! INELEGÍVEL!,"Jun 26, 2023",23235,195.9393,41,0.426,55568,5.16
9LBtA4VXdwQ,"Lula se emociona ao falar da situação de pobreza no país ""Temos que ficar indignados"" #shorts","Oct 27, 2022",1483,19.0523,4,0.424,15108,7.33
mSilpt1iNfs,"O primeiro Oscar da Índia com a música NAATU NAATU do filme ’RRR: Revolta, rebelião, revolução","Mar 13, 2023",917,9.7845,-1,0.419,10605,3.13
A3PDwfyPwl4,Conheça a candidata Erika Hilton (SP)| Eleições 2022,"Sep 30, 2022",804,20.5994,7,0.416,17911,3.42
C77CBfJZRVI,"Conheça Ermelinda, ou Yepário, indígena Tukano","Jul 16, 2019",396,8.3467,3,0.411,2854,5.78
8OJzcm9lOXI,"Vira Voto, cresce a mobilização de artistas para virar votos pro Lula no 1º turno","Sep 23, 2022",1699,32.8714,7,0.404,12820,10.76
EA7uAZcxhXk,Melhores Momentos de Lula no Debate da Band,"Aug 29, 2022",952,31.8364,3,0.404,9560,7.29
mc-Y4pyjtco,"CRUZADA PELA PAZ: na Espanha, Lula propõe G20 da paz e critica conselho de segurança da ONU","Apr 26, 2023",588,18.4799,0,0.404,7594,6.43
heQap45AFZ8,Sonia Guajajara expõe deputados do agro que querem tirar de seu ministério o poder de demarcação,"Apr 25, 2023",1144,42.1346,0,0.399,10513,9.09
ZT1SZH_ODIs,"Primeira ministra indígena da história, Sonia Guajajara faz discurso afiadíssimo em sua posse","Jan 12, 2023",1096,13.1229,2,0.398,18611,4.57
FSHD4QxTAJ4,Caetano Veloso entrevista Alessandro Molon para entender o Orçamento Secreto,"Oct 14, 2022",392,24.5832,5,0.395,6772,2.63
nZXoT5mKeJk,Discurso de Sonia Guajajara para Lula durante o Acampamento Terra Livre 2022,"Apr 16, 2022",983,44.1534,3,0.395,9963,7.45
EZksWqqn8Ag,Audiência Pública - Escolas no Combate às Fake News e ao Discurso de Ódio,"May 12, 2023",1999,108.0669,1,0.394,58830,1.99
p94RFczEhIo,Mentira que Desmata! Parte 3,"May 23, 2023",1087,34.4607,1,0.392,37287,1.21
VKmHWRxsIwc,Episódio 4  - Antropoceno │Maracá,"Aug 30, 2020",351,29.1564,7,0.391,6091,3.74
dPkNLaQli1o,Dom de Cura e Pajelança - A morte da pajé Tupinambá e o canto final,"Dec 7, 2021",335,10.0427,1,0.387,3068,4.53
GRU8J_5kVwc,✨ Histórico! ✨ Randolfe compara Lula à Mandela em discurso emocionante durante sabatina de Zanin!,"Jun 22, 2023",545,27.3932,1,0.377,5897,7.21
aZJFaeTTfDA,A RAINHA DA AMAZÔNIA! Cientistas chegam pela primeira vez na maior árvore da Amazônia!,"Oct 4, 2022",682,17.4283,2,0.367,5344,8.7
c7Ue71JDj2o,1 ano: Homenagem NINJA à Marielle Franco (versão acessível),"Mar 14, 2019",771,22.7198,2,0.366,6951,7.71
j3dQTUlqqPw,"Vinicius Junior se pronuncia: ""Aceitem, respeitem ou surtem. Eu não vou parar de bailar""","Sep 17, 2022",585,12.327,0,0.362,2532,13.39
DhyIhJC0dog,AGRO | EP 18 - Produção na agroecologia,"Mar 22, 2020",382,15.5359,5,0.361,3117,7.6
I4rRIYldu10,Discurso completo de Lula em Recife para uma multidão,"Nov 18, 2019",966,82.0253,1,0.35,13116,5.52
tOq2QDjBGiM,Moro desconhece a Lei de Execução Penal | Luis Carlos Valois,"Aug 6, 2019",455,32.2896,11,0.349,3335,11.3
IC5WVrL5J4s,Série Guardiãs da Floresta - Episódio Joenia Wapichana,"Apr 30, 2021",4797,376.4867,110,0.337,38216,8.57
VjZAT_ep3Po,Discurso de Guilherme Boulos  para multidão no ato Vai Ter Resistência,"Oct 31, 2018",799,21.4071,1,0.334,5854,9.57
8HgmuOUkFsw,"Projeção nos EUA chama Jair Bolsonaro, Donald Trump e aliados de Ratos da Flórida e Família do Crime","Jan 17, 2023",7163,74.7241,8,0.326,25194,18.84
a9ifQdaIjVE,Padre Julio Lancellotti pede perdão à comunidade LGBTQI+,"Jul 16, 2020",826,16.6965,8,0.326,8146,7.44
fdcDZ-U736c,Confira 10 momentos emocionantes do Carnaval 2022,"Apr 24, 2022",736,10.8651,0,0.32,8599,6.16
CEwZwYCTif8,"Moraes exige das Big Techs rigor contra ódio e violência, equiparando a filtros de direitos autorais","Apr 19, 2023",600,19.0445,0,0.317,7299,7.08
B11jBopsX5w,Você sabe quem são os trabalhadores sem teto? Conheça a verdade,"Nov 8, 2020",431,11.1922,5,0.312,3784,8.17
Cd9-SgZ8-Ig,Bernardo Boechat | Ser gordo é doença??,"May 4, 2017",602,19.591,4,0.312,4987,9.89
H7SOk2p17D0,Caetano Veloso se emociona muito em seu primeiro show depois da morte de Gal Costa,"Nov 21, 2022",614,14.2922,3,0.308,5420,9.67
jfsat4RxB-s,Sonia Guajajara manda recado para Kim Kataguiri,"Jun 26, 2019",1000,15.6054,2,0.307,5782,14.65
 -FsboDCBXJ0,Pastor Henrique Vieira Emociona a todos no comício de Fernando Haddad,"Oct 24, 2018",373,15.545,1,0.297,4666,5.12
c3EfWmmKWk4,São Paulo contra Bolsonaro - #EleNão,"Sep 30, 2018",679,12.3694,1,0.297,4882,10.94
NEaOX7QFxQU,AGRO | EP 9 - A agricultura convencional,"Mar 13, 2020",463,15.586,2,0.296,2530,12.69
LrLcaqvy7IY,"Criolo e Diogo Nogueira cantam em apoio a Lula interpretando a música ""Juízo Final""","Oct 28, 2022",475,6.8668,0,0.294,2511,6.17
jrAv2sDbXNw,Racismo e educação: Escurecendo esse debate | Marcelo Rocha,"Mar 29, 2018",404,13.3733,6,0.293,1194,12.31
fXLVv1I8v4c,Henrique Vieira - Religião e Política,"Feb 27, 2018",359,11.5657,1,0.292,2483,8.5
xHk_gfia3AY,A Amazônia que você não conhece especial Visibilidade Lésbica,"Aug 29, 2020",48,0.3735,0,0.291,315,0
Iu8lIlwyCzE,Bolsonaro caiu igual ao Al Capone!,"Jun 14, 2023",15640,174.5241,42,0.285,27406,4.04
W0mn9v8I9UQ,"Ganhou uma carreta e 200mil reais apostando em Lula, mas devolveu tudo ""Eu queria ajudar o povo""","Nov 4, 2022",1549,22.8845,3,0.285,20765,6.01
dcy_yt01m-E,Simone Tebet em encontro com artistas fala sobre a importância de se posicionar nesse 2º turno,"Oct 18, 2022",622,15.0417,2,0.278,7990,6.28
Oru8o5KTIe8,DISCORD E A VIOLÊNCIA CONTRA MENORES - EXPRESSO COM MANU 29/06/23,"Jun 29, 2023",2151,64.8251,1,0.271,33326,0.99
a2PZKVsjZRE,João Brasil entrevista Sabãozinho│Websérie Funk Brasil Entrevista,"Feb 4, 2021",492,28.8133,5,0.268,1271,5.9
hE1mUJHhOCI,Henrique Vieira | Quando o cristianismo esconde Jesus Cristo,"Jul 30, 2017",381,11.7915,5,0.266,3797,5.56
yc8vycXjo8Q,Pastor Henrique vieira - Páscoa de Resistência e da Esperança,"Apr 19, 2019",176,4.4204,1,0.263,748,7.49
Dna8ipWi0Jo,Depoimento do homem que foi ameaçado por Carla Zambelli,"Oct 30, 2022",1083,15.6903,5,0.255,15712,5.46
7bbR6XIjJqU,"Fã de Foo Fighters é perguntada sobre o show, fala de Bolsonaro e deixa repórter desnorteado #shorts","May 4, 2023",14336,90.2965,28,0.252,33748,5.85
U5wri7H9dsM,Conheça o casal de cantoras lésbicas que toca o coração de Santa Catarina,"Aug 4, 2020",390,4.2467,2,0.251,2975,2.49
1ED4dwc3G-k,LEVANTE PELA TERRA - Pelo direito à vida e ao território dos povos indígenas,"Jun 23, 2021",364,12.8572,2,0.25,2953,5.52
x-5m2i0P2tk,Baiana System - Lucro - Ao vivo no Ato pelas Diretas Já em Salvador,"Jun 15, 2018",533,12.7677,0,0.249,2816,11.29
4l4Y9AbRWkA,IPVA pra jatinho e iate vai entrar na Reforma Tributária. Agora é batalhar pela isenção dos motoboys,"Jun 10, 2023",14204,116.0057,32,0.246,20404,2.88
xAg1b8Rfl3A,CHEGA DE AGROTÓXICOS - entrevista com Larissa Bombardi,"Jul 1, 2022",203,25.7479,6,0.246,602,10.3
HjXoW-j1_Bc,Vitor diCastro lista 5 motivos pra não votar em Bolsonaro de jeito nenhum! Confira,"Oct 25, 2022",608,23.9205,4,0.244,6342,7.46
X2YGlWfdavY,"Se comparar fica evidente, Bolsonaro é só atraso","Oct 17, 2022",42178,501.4903,107,0.244,3949,1.7
r6vyS3iW3ls,Denise Fraga emociona a todos no Ato pela Democracia com Lula,"Oct 27, 2022",621,12.3162,1,0.244,8355,6.07
HIp1vfRoV-c,Ep1. Paris Borges - Policial Trans fala sobre segurança pública,"Jun 10, 2019",471,21.7744,4,0.241,1404,10.68
FoeTp1YaW4I,"Delírios Utópicos de Claudio Prado - Ministério da Felicidade, Drone e a porraloquice do século 21","Oct 5, 2017",230,21.7452,1,0.24,2366,5.11
mPBjnNbwgv4,momentos mais marcantes do Barba com Caue Moura e Load no Desce a Letra Show,"Oct 24, 2022",615,29.3961,4,0.24,7853,6.21
n7MtKE78vWg,"Chris Martin, do Coldplay, foi a uma roda de Samba em um bar de São Paulo neste domingo","Mar 20, 2023",14275,81.2199,21,0.24,72455,8.75
_FpOVyJKPEs,"Delírios conversa com Pedro Cardoso, ator, humorista e.. escritor! FliAraxá 2017","Nov 18, 2017",479,35.4065,5,0.236,6703,4.49
CdT2zLipypY,Aula de Política 2 | Live de Anitta com Gabriela Prioli,"May 16, 2020",271,51.4695,1,0.231,4303,4.37
Gvl21HpGlx4,Lula relança Programa de Aquisição de Alimentos,"Mar 23, 2023",14651,101.8908,37,0.23,62159,9.81
k-2Br59YbIg,Aula de Política 3 | Live de Anitta com Gabriela Prioli,"May 30, 2020",180,32.5149,0,0.228,1914,5.69
AxHf5S4tpic,"Em novo filme, Eliza Capai traça um panorama atual do movimento estudantil no país","Aug 9, 2019",173,7.1643,4,0.227,1935,5.89
cUUIgdyyog4,A história subversiva do nascimento de Jesus - Pastor Henrique Vieira,"Dec 23, 2018",195,6.1405,3,0.227,3194,3.82
kyMO47IidVk,Não existe déficit da previdência | com Maria Lúcia Fattorelli,"Jun 25, 2019",199,11.9549,5,0.226,1465,6.42
Fx1ft0g55b0,Hanaiti Ho'únevo Têrenoe | 10ª Grande Assembleia do Povo Terena,"Aug 23, 2017",388,19.9339,0,0.221,4003,5.05
WxFO6KxkhOY,"Do NADA! Padre de festa junina, Kelman, aparece na CPI do MST","Jun 20, 2023",11157,50.6169,9,0.221,11928,3.86
aAjAic_oUZI,"Sergio Moro, a tua hora vai chegar! #SergioMoroNaCadeia","Jun 9, 2023",12926,95.9303,19,0.218,36727,4.47
V36cV3M55ug,Quilombo de Santana espera regularização de suas terras há mais de 20 anos,"Apr 18, 2019",199,6.8037,1,0.217,1406,6.54
W0yVBUj2-Xg,Conheça a candidata Sonia Guajajara (SP)│Eleições 2022,"Sep 9, 2022",366,8.838,2,0.216,7916,3.44
J03d2cSwuNQ,Majur canta Tan Kalakatan de Mayra Andrade na Casa NINJA Bahia,"Jan 18, 2020",360,12.9696,5,0.215,2448,10.09
lyQEO_OyRtk,Piores momentos da reunião ministerial,"May 22, 2020",409,12.94,1,0.215,2511,12.9
MWVr63iPueY,Não há simetria entre quem mata e quem morre | Guilherme Boulos no Roda Viva #shorts,"Oct 4, 2022",205844,2239.2563,551,0.213,14171,4.43
dB-tvLIgsEs,Bom dia grupo! Hoje é dia de maldade com Sérgio Moro,"Jul 5, 2019",293,4.2759,1,0.209,939,12.03
FOqK1J90kMk,"Manifesto contra Bolsonaro, pelo poeta Lucas Afonso","Sep 12, 2019",274,9.1809,3,0.207,4012,4.54
